location,type,variable,project,experiment,frequency
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tx_CMIP6_ssp585_mon_201501-210012.nc,opendap,tx,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/fd_CMIP6_ssp585_mon_201501-210012.nc,opendap,fd,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/prsn_CMIP6_ssp585_mon_201501-210012.nc,opendap,prsn,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tnn_CMIP6_ssp585_mon_201501-210012.nc,opendap,tnn,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/tx35ba_CMIP6_ssp585_mon_201501-210012.nc,opendap,tx35ba,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp585/siconc_CMIP6_ssp585_mon_201501-210012.nc,opendap,siconc,CMIP6,ssp585,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/prsn_CMIP6_ssp370_mon_201501-210012.nc,opendap,prsn,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tx35_CMIP6_ssp370_mon_201501-210012.nc,opendap,tx35,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tn_CMIP6_ssp370_mon_201501-210012.nc,opendap,tn,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/txx_CMIP6_ssp370_mon_201501-210012.nc,opendap,txx,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/ph_CMIP6_ssp370_mon_201501-210012.nc,opendap,ph,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tx40_CMIP6_ssp370_mon_201501-210012.nc,opendap,tx40,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tx_CMIP6_ssp370_mon_201501-210012.nc,opendap,tx,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tnn_CMIP6_ssp370_mon_201501-210012.nc,opendap,tnn,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/rx5day_CMIP6_ssp370_mon_201501-210012.nc,opendap,rx5day,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/sfcwind_CMIP6_ssp370_mon_201501-210012.nc,opendap,sfcwind,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/siconc_CMIP6_ssp370_mon_201501-210012.nc,opendap,siconc,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/hd_CMIP6_ssp370_yr_2015-2100.nc,opendap,hd,CMIP6,ssp370,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/rx1day_CMIP6_ssp370_mon_201501-210012.nc,opendap,rx1day,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/cd_CMIP6_ssp370_yr_2015-2100.nc,opendap,cd,CMIP6,ssp370,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/spi6_CMIP6_ssp370_mon_201501-210012.nc,opendap,spi6,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/cdd_CMIP6_ssp370_yr_2015-2100.nc,opendap,cdd,CMIP6,ssp370,yr
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/pr_CMIP6_ssp370_mon_201501-210012.nc,opendap,pr,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/t_CMIP6_ssp370_mon_201501-210012.nc,opendap,t,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/tx35ba_CMIP6_ssp370_mon_201501-210012.nc,opendap,tx35ba,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/fd_CMIP6_ssp370_mon_201501-210012.nc,opendap,fd,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp370/sst_CMIP6_ssp370_mon_201501-210012.nc,opendap,sst,CMIP6,ssp370,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/prsn_CMIP6_ssp126_mon_201501-210012.nc,opendap,prsn,CMIP6,ssp126,mon
https://hub.climate4r.ifca.es/thredds/dodsC/ipcc/ar6/atlas/ia-monthly/CMIP6/ssp126/pr_CMIP6_ssp126_mon_201501-210012.nc,opendap,pr,CMIP6,ssp126,mon
